Source	First English Translation	Final Refined Translation
"Durante o tempo que passam no Chile, percebem a necessidade de uma tradução para o espanhol do Livro de Mórmon.
"	During their time in Chile, they realized the need for a Spanish translation of the Book of Mormon.	During their time in Chile, they come to understand the necessity of a Spanish translation of the Book of Mormon.
"Posteriormente, o mesmo sonho se repetiu.
"	Later, the same dream was repeated.	Subsequently, the same dream recurred.
"Há um tipo de alegria e satisfação que somente é compreendida por meio de sentimentos espirituais.
"	There is a kind of joy and satisfaction that is only understood through spiritual feelings.	There is a specific type of joy and satisfaction that can only be fully grasped through spiritual emotions.
"5. Exatidão dos Dados Informados.
"	5. Accuracy of Submitted Data.	5. Accuracy of the Provided Data.
"As ordenanças continuarão na sua lista até que alguém as aceite.
"	Ordinances will remain on your list until someone accepts them.	The ordinances will stay on your list until someone accepts them.
"Além de suas próprias provações pessoais, muitos enfrentaram e continuam a enfrentar preconceitos e mal-entendidos culturais mesmo em sua ala ou seu ramo.
"	In addition to their own personal trials, many have faced and continue to face cultural prejudice and misunderstanding, even in their ward or branch.	In addition to their own personal trials, many have faced and continue to face cultural prejudices and misunderstandings, even within their own congregation or branch.
"Ocorreu um erro ao salvar seu retrato.
"	An error occurred while saving your portrait.	An error occurred while saving your portrait.
"Clique na caixa de seleção à esquerda de cada pessoa cujas ordenanças você deseja cancelar a reserva.
"	Click the check box to the left of each person whose ordinances you want to cancel.	Click the checkbox to the left of each person whose orders you wish to cancel the reservation.
"A indexação de registros é o acelerador que dá ao site FamilySearch.org o poder de conectar você aos seus antepassados.
"	Record indexing is the accelerator that gives the FamilySearch.org site the power to connect you to your ancestors.	The indexing of records serves as the catalyst that empowers the FamilySearch.org website to connect you with your ancestors.
"Tabela para listar até quatro gerações de antepassados.
"	Table to list up to four generations of ancestors.	Table for documenting up to four generations of ancestors.
"E essa é a razão, porque o Espírito foi persistente.
"	And that is the reason, because the Spirit was persistent.	And that is the reason the Spirit remained persistent.
"Apesar de as ordenanças vicárias realizadas fora de sequência serem válidas, elas tornam-se eficazes somente depois que forem realizadas as ordenanças exigidas previamente.
"	Although proxy ordinances performed out of sequence are valid, they become effective only after the previously required ordinances are performed.	Although the proxy ordinances conducted out of sequence are valid, they only take effect once the requisite ordinances that precede them have been completed.
"No mundo todo, como irmãos e irmãs no evangelho, podemos aprender uns com os outros, tornar-nos mais unidos e aumentar nosso amor mútuo.
"	Around the world, as brothers and sisters in the gospel, we can learn from each other, become more united, and increase our love for one another.	Throughout the world, as brothers and sisters in the gospel, we can learn from one another, grow closer together, and deepen our mutual love.
"O chamado, Jorge Orlando Cocco Santangelo Prêmio de Compra
"	The Call, Jorge Orlando Cocco Santangelo Purchase Award	The Announcement of the Jorge Orlando Cocco Santangelo Purchase Prize
"O membro da Igreja John M. Bernhisel copiou partes de um manuscrito do Velho Testamento e um manuscrito separado do Novo Testamento cerca de um ano após a morte de Joseph Smith, quando Emma Smith emprestou a Bernhisel os manuscritos por um período de quase três meses.
"	Church member John M. Bernhisel copied portions of an Old Testament manuscript and a separate New Testament manuscript about a year after Joseph Smith's death, when Emma Smith lent Bernhisel the manuscripts over a period of nearly three months.	John M. Bernhisel, a member of the Church, copied parts from an Old Testament manuscript and a separate New Testament manuscript about one year after the death of Joseph Smith, when Emma Smith lent the manuscripts to Bernhisel for a period of nearly three months.
"Enquanto as dimensões, funções e alguns aspectos da sua aparência foram especificados por revelação, outros elementos foram deixados para os líderes e trabalhadores locais decidirem.
"	While the dimensions, functions, and some aspects of their appearance were specified by revelation, other elements were left to local leaders and workers to decide.	While the dimensions, functions, and some aspects of their appearance were specified by revelation, other elements were left for local leaders and workers to determine.
"Acabei de terminar meu primeiro lote!
"	I just finished my first batch!	I have just finished my first batch!
"Incentivamos você a examinar todas as informações encontradas em cada uma das diretrizes antes de enviar.
"	We encourage you to review all the information found in each of the guidelines before submitting.	We strongly encourage you to carefully examine all the information included in each of the guidelines prior to submitting.
"Alguns dias depois de enviar essas cartas, Joseph e seus companheiros na prisão foram levados da cadeia e apresentados a um tribunal superior em Gallatin.
"	A few days after sending these letters, Joseph and his fellow prisoners were taken from jail and brought before a higher court in Gallatin.	A few days after sending these letters, Joseph and his fellow inmates were removed from jail and presented before a higher court in Gallatin.
"Junte-se a nós para preparar o lançamento oficial do novo programa de indexação com base no navegador no site FamilySearch.org!
"	Join us in preparing the official launch of the new browser-based indexing program on the FamilySearch.org website!	Join us in preparing for the official launch of the new browser-based indexing program at FamilySearch.org!
"Talvez esse legado seja o que inspira as gerações futuras a segui-los, ou talvez isso realmente esteja no sangue da família.
"	Maybe that legacy is what inspires future generations to follow them, or maybe it really is in the family's blood.	Perhaps this legacy inspires future generations to follow in their footsteps, or maybe it is indeed in the family's blood.
"Este projeto não tem nenhum lote disponível para retirada.
"	This project does not have any lots available for withdrawal.	This project has no lots available for pickup.
"Indexação na Internet Não consigo ver a página inteira das instruções do projeto
"	Internet Indexing I Can't See the Entire Project Instructions Page	I cannot see the full page of the project instructions regarding Internet indexing.
"Criança Nascida Antes do Pai
"	Child Born Before Father	Child Born Before the Father
"Para a imagem acima, este campo seria indexado como:
"	For the image above, this field would be indexed as:	For the image above, this field would be indexed as:
"Cristo orando no Getsêmani
"	Christ praying in Gethsemane	Christ praying in Gethsemane
"Fiquei muito magoada ao ouvi-los dizer velha mãe Smith Lá vai a velha mãe Smith.
"	I was very hurt to hear them say old mother Smith, There goes old mother Smith.	I felt very hurt when I heard them refer to her as 'Old Mother Smith'. Look, there's Old Mother Smith passing by again.
"Se você estiver usando esse sistema operacional, baixe e use Firefox, Chrome ou Safari.
"	If you are using this operating system, download and use Firefox, Chrome, or Safari.	If you are using this operating system, kindly download and utilize Firefox, Chrome, or Safari.
"Eu tinha pesquisado por 20 anos para encontrar qualquer registro de casamento ou divórcio dos pais dela.
"	I had searched for 20 years to find any marriage or divorce records of her parents.	I had spent 20 years searching for any records regarding her parents' marriage or divorce.
"Qual é o propósito desta nova página?
"	What is the purpose of this new page?	What is the purpose of this new page?
"Somos gratos por seu trabalho dedicado nessa obra extraordinária.
"	We are grateful for his dedicated work in this extraordinary work.	We appreciate your dedicated efforts on this extraordinary project.
"Em sua solicitação, forneça as seguintes informações:
"	In your request, please provide the following information:	In your request, kindly provide the following information:
"mas agora se sentia abandonado.
"	But now he felt abandoned.	But now, he felt abandoned.
"Em 1976, John F. e Carmen ODonnal foram chamados para presidir a Missão Cidade da Guatemala e, depois, a Missão Guatemala Quetzaltenango.
"	In 1976, John F. and Carmen ODonnal were called to preside over the Guatemala City Mission and then the Guatemala Quetzaltenango Mission.	In 1976, John F. and Carmen O’Donnell were appointed to preside over the Guatemala City Mission and subsequently the Quetzaltenango Mission in Guatemala.
"Kimball assegurou a ele que os membros da área haviam expressado confiança nele.
"	Kimball assured him that members of the area had expressed confidence in him.	Kimball assured him that the members of the area had expressed their confidence in him.
"Nomeado para a Junta Educacional da Igreja
"	Appointed to the Board of Education, the Church	Appointed to the Church Educational Board
"Você será notificado quando um patriarca for atribuído.
"	You will be notified when a patriarch is assigned.	You will be notified when a patriarch is assigned.
"Sem dúvida, milhares de vidas serão modificadas com o resultado do esforço de hoje.
"	No doubt thousands of lives will be changed as a result of today's effort.	Undoubtedly, thousands of lives will be transformed as a result of today's efforts.
"Indexar registros históricos, talvez da terra natal de um antepassado.
"	Index historical records, perhaps from an ancestor's homeland.	Index historical records, possibly from the homeland of an ancestor.
"Sabrina Jill Squires Estados Unidos Colagem e tinta acrílica sobre painel
"	Sabrina Jill Squires United States Collage and acrylic paint on panel	Sabrina Jill Squires, United States; collage and acrylic paint on panel.
"Entrevistas recentes com diretores de indexação da estaca e líderes do sacerdócio mostram como determinadas estacas estão combinando perfeitamente a indexação com outras atividades de história da família em um esforço harmonioso que abençoa a vida em ambos os lados do véu.
"	Recent interviews with stake indexing directors and priesthood leaders show how particular stakes are seamlessly combining indexing with other family history activities in a harmonious effort that blesses life on both sides of the veil.	Recent interviews with stake indexing directors and priesthood leaders illustrate how certain stakes are perfectly blending indexing with other family history activities in a harmonious effort that brings blessings to lives on both sides of the veil.
"Sou tão grata por essas histórias terem sido compartilhadas, mas, não apenas compartilhadas preservadas.
"	I am so grateful that these stories were shared, but not just shared preserved.	I am so grateful that these stories have been shared, but not only that, they have also been preserved.
"Conforme esperado, Joseph a ensinou sobre isso e perguntou se ela seria selada a ele.
"	As expected, Joseph taught her about this and asked if she would be sealed to him.	As anticipated, Joseph instructed her on this matter and inquired whether she would be bound to him.
"Suécia, Registros da Igreja de rebro, 16131918; índice 16351860
"	Sweden, Church Records of Rebro, 16131918; Table of Contents 16351860	Sweden, Church Records of Örebro, 1613-1918; Index 1635-1860
"Coloque mais informações e detalhes aqui.
"	Put more information and details here.	Please include additional information and details in this section.
"Mercy perdera outro marido no auge da vida.
"	Mercy had lost another husband in the prime of her life.	Mercy had lost another husband at the height of her life.
"Agora você pode deslizar o nome da pessoa para removê-la do Histórico ou da lista de Antepassados com Tarefas.
"	You can now swipe the person's name to remove them from the History or Ancestors with Tasks list.	You can now swipe a person's name to remove them from the History or the list of Ancestors with Tasks.
"A Firma Unida desempenhou um papel essencial na administração da Igreja de 1832 a 1834, exatamente como Whitney desempenhou um papel primordial na própria firma.
"	The United Firm played an essential role in the administration of the Church from 1832 to 1834, just as Whitney played a primary role in the firm itself.	The United Firm was instrumental in the administration of the Church between 1832 and 1834, much like Whitney was crucial to the firm itself.
"E pensava: Não sou tão digna.
"	And I thought: I'm not so worthy.	And I thought to myself: I am not worthy.
"3 Néfi 11:10; 15:2124; ver também João 10:16.
"	3 Nephi 11:10; 15:2124; see also John 10:16.	3 Nephi 11:10; 15:21 - 24; see also John 10:16.
"Os seis missionários e o motorista começaram a procurar por gasolina, a fim de continuar com sua jornada; por fim, trocaram meia saca de arroz por quinze litros de combustível mesmo sabendo que não seria suficiente para os quase 600 quilômetros de péssimas estradas.
"	The six missionaries and the driver began to search for gasoline in order to continue with their journey; Finally, they exchanged half a bag of rice for fifteen liters of fuel even though they knew that it would not be enough for the almost 600 kilometers of bad roads.	The six missionaries and the driver started searching for gasoline to continue their journey; ultimately, they traded half a sack of rice for fifteen liters of fuel, fully aware that this would not suffice for the nearly 600 kilometers of terrible roads ahead.
"Pouco se sabe sobre o conhecimento e os sentimentos de Emma em relação a esses casamentos, alguns dos quais envolviam compromissos nesta vida, ao passo que outros envolviam compromissos somente para a vida futura.
"	Little is known about Emma's knowledge and feelings regarding these marriages, some of which involved commitments in this life, while others involved commitments only for the future life.	Very little is known about Emma's understanding and emotions concerning these marriages, some of which engaged commitments in this life, whereas others pertained exclusively to the afterlife.
"Clique na seta para fechar o painel.
"	Click the arrow to close the panel.	Click the arrow to close the panel.
"E compreendes seu pensar,
"	And you understand his thinking,	And you comprehend his way of thinking.
"Os acontecimentos em Carthage levaram Joseph Fielding a encher várias páginas de seu diário com comentários sobre a vida, missão e morte de Joseph Smith.
"	The events at Carthage led Joseph Fielding to fill several pages of his journal with commentary on Joseph Smith's life, mission, and death.	The events in Carthage prompted Joseph Fielding to fill numerous pages in his journal with reflections on the life, mission, and death of Joseph Smith.
"O Élder Quentin L. Cook, que falará mais tarde nesta conferência, disse que A liderança da Igreja conclamou a nova geração a liderar o caminho no uso da tecnologia para vivenciar o espírito de Elias, pesquisar seus antepassados e realizar as ordenanças do templo para eles.
"	Elder Quentin L. Cook, who will speak later in this conference, said Church leadership has called on the rising generation to lead the way in using technology to experience the spirit of Elijah, search for their ancestors, and perform temple ordinances for them.	Elder Quentin L. Cook, who will speak later during this conference, mentioned that the leadership of the Church has urged the new generation to take the lead in utilizing technology to embrace the spirit of Elijah, seek out their ancestors, and carry out temple ordinances on their behalf.
"Annie Noble se filiou à Igreja Batista quando se casou.
"	Annie Noble joined the Baptist Church when she got married.	Annie Noble became a member of the Baptist Church upon her marriage.
"Esse recurso aumenta o valor do Catálogo do FamilySearch como auxílio de pesquisa, tornando-se muito mais eficiente passar dos itens do catálogo para os dados digitais online.
"	This feature increases the value of the FamilySearch Catalog as a research aid, making it much more efficient to move from catalog items to online digital data.	This resource enhances the value of the FamilySearch Catalog as a tool for research, significantly improving the efficiency of transitioning from catalog entries to online digital data.
"e mediu mais mil, e me fez passar por águas que me davam pelos lombos.
"	and he measured a thousand more, and brought me through waters that were up to my loins.	and he measured a thousand more, and led me through waters that came up to my waist.
"Defina o endereço de IP estático da impressora.
"	Set the static IP address of the printer.	Set the static IP address of the printer.
"O templo ainda estava longe de ser terminado e, se os santos fugissem da cidade, dificilmente conseguiriam receber sua investidura.
"	The temple was still far from finished, and if the Saints fled the city, they would hardly be able to receive their endowment.	The temple was still far from completion, and if the Saints were to flee the city, they would likely struggle to receive their endowment.
"Precisamos especialmente de ajuda na indexação de registros em espanhol, francês, italiano e português.
"	We especially need help indexing records in Spanish, French, Italian, and Portuguese.	We especially require assistance in indexing records in Spanish, French, Italian, and Portuguese.
"Índice por Número da Seção
"	Index by Section Number	Index by Section Number
"Senhorita Dew?, ela disse com um sotaque encantador.
"	"""Miss Dew,"" she said in a charming accent."	"""Miss Dew?"" she asked, her voice laced with a charming accent."
"Nossas orações devem ser sinceras
"	Our prayers should be sincere	Our prayers must be sincere
"Maneiras Simples de Comemorar o Mês da História da Família: Uma Viagem ao Passado
"	Simple Ways to Celebrate Family History Month: A Trip to the Past	Simple Ways to Celebrate Family History Month: A Journey into the Past
"Naquele dia, lembro-me de estar muito cansado, e não querer fazer nada.
"	That day, I remember being very tired, and not wanting to do anything.	On that day, I recall feeling extremely tired and having no desire to do anything.
"Se você enviou os dados da pessoa num arquivo GEDCOM, acrescente uma data ou local de falecimento.
"	If you submitted the person's information in a GEDCOM file, add a date or place of death.	If you have submitted the person's information in a GEDCOM file, please include a date or place of death.
"As Sociedades de Socorro indicaram pelo menos um auxílio de serviço social por estaca e alguns no âmbito de ala quando necessário.
"	Relief Societies have indicated at least one social service aid per stake and a few at the ward level when needed.	Relief Societies have indicated that each stake provides at least one social service assistance, with additional support available at the ward level when necessary.
"Da mesma forma, ele espera que o aplicativo seja disponibilizado gratuitamente aos milhares de alunos nas salas de aula nos Estados Unidos.
"	Likewise, he hopes that the app will be made available for free to the thousands of students in classrooms in the United States.	Similarly, he anticipates that the application will be provided free of charge to the thousands of students in classrooms throughout the United States.
"Leve seus antepassados com você.
"	Take your ancestors with you.	Take your ancestors with you.
"Alguns dias mais tarde, uma mensagem de Joseph Ball, um missionário que trabalhava nas Ilhas Fox, relatou que os dissidentes de Kirtland haviam enviado cartas para os conversos de Wilford daquele local, tentando lhes influenciar a fé.
"	A few days later, a message from Joseph Ball, a missionary working in the Fox Islands, reported that the dissidents in Kirtland had sent letters to Wilford's converts there, trying to influence their faith.	A few days later, a message from Joseph Ball, a missionary serving in the Fox Islands, reported that the Kirtland dissidents had sent letters to the converts of Wilford in that area, trying to sway their faith.
"Informações da conta nomes de usuário e senhas podem ser encontradas em três locais, como mostrado abaixo:
"	Account information, usernames, and passwords can be found in three locations, as shown below:	Account information, including usernames and passwords, can be found in three different locations, as illustrated below:
"Esta é uma nova pasta vazia.
"	This is a new empty folder.	This is a new, empty folder.
"Para mim foi uma resposta às minhas orações.
"	For me it was an answer to my prayers.	For me, it was an answer to my prayers.
"Sacrificar o Futebol pelo Serviço
"	Sacrificing Football for Service	Sacrificing Football for the Service
"Quero entrar em contato com alguém que esteja trabalhando em minha linhagem de antepassados.
"	I want to get in touch with someone who is working on my ancestor line.	I would like to connect with someone who is researching my ancestral lineage.
"Outras pessoas achavam que, como governador, ele não deveria participar de uma nova religião que poderia dividir o povo.
"	Other people felt that as governor he should not participate in a new religion that might divide the people.	Others believed that, as the governor, he should avoid engaging in a new religion that could potentially divide the populace.
"Um usuário da Árvore Familiar digitou uma data ou local, mas não selecionou um padrão.
"	A Family Tree user entered a date or location, but did not select a pattern.	A user of the Family Tree entered a date or location but did not select a pattern.
"Converse com eles sobre o que eles querem fazer.
"	Talk to them about what they want to do.	Talk to them about what they wish to do.
"Durante a cerimônia, o presidente Wilford Woodruff ativou um interruptor elétrico e uma máquina abaixou o pináculo de granito no local.
"	During the ceremony, President Wilford Woodruff activated an electrical switch and a machine lowered the granite spire at the site.	During the ceremony, President Wilford Woodruff activated an electric switch, and a machine lowered the granite spire into position.
"Élder Quentin L. Cook, abril de 2014
"	Elder Quentin L. Cook, Apr. 2014	Elder Quentin L. Cook, April 2014
"Sim, mas ainda levará um tempo para desenvolver esses recursos.
"	Yes, but it will still take a while to develop these features.	Yes, but it will still take some time to develop these features.
"Cada um recebeu uma pequena lente de aumento e um certificado de conclusão.
"	Each received a small magnifying glass and a certificate of completion.	Each individual received a small magnifying glass along with a certificate of completion.
"Na semana seguinte, enquanto Phelps continuava a pensar sobre o que havia acontecido, uma passagem do Novo Testamento veio a sua mente.
"	The following week, as Phelps continued to think about what had happened, a passage from the New Testament came to his mind.	The following week, while Phelps continued to contemplate what had occurred, a passage from the New Testament came to his mind.
"Conte o número de registros na imagem.
"	Count the number of records in the image.	Count the number of records in the image.
"O texto da oração foi adicionado a Doutrina e Convênios como seção 109, em 1876.
"	The text of the prayer was added to the Doctrine and Covenants as section 109 in 1876.	The text of the prayer was incorporated into the Doctrine and Covenants as Section 109 in 1876.
"A maioria dos casos foi julgada por um tribunal do bispo ou pelo sumo conselho.
"	Most cases were tried by a bishop's tribunal or by the high council.	The majority of cases were adjudicated by either a bishop's court or the supreme council.
"Em muitos casos o software do FamilySearch ajuda nesse processo.
"	In many cases, FamilySearch software helps with this process.	In many instances, the FamilySearch software assists in this process.
"Vou como um cordeiro para o matadouro, disse o profeta, mas estou calmo como uma manhã de verão; tenho a consciência limpa em relação a Deus e em relação a todos os homens. Morrerei inocente.
"	"""I am going like a lamb to the slaughter,"" said the prophet, ""but I am calm as a summer morning; I have a clear conscience in relation to God and in relation to all men. I will die innocent."	"I go like a lamb to the slaughter,"" said the prophet, ""but I am as calm as a summer morning; my conscience is clear before God and before all men. I will die innocent."
"Altere seu perfil de modo a incluir o país em que reside.
"	Change your profile to include the country you live in.	Please update your profile to include the country where you currently reside.
"Peça aos seus pais e avós para falar sobre a vida deles e o que eles se lembram de seus parentes falecidos, e grave suas histórias usando o aplicativo.
"	Ask your parents and grandparents to tell you about their lives and what they remember about their deceased relatives, and record their stories using the app.	Encourage your parents and grandparents to share their life stories and their memories of deceased relatives, and use the app to record their narratives.
"N. Eldon Tanner era primeiro conselheiro na Primeira Presidência na época da desobrigação da irmã Spafford; Tanner e ela foram bons amigos.
"	N. Eldon Tanner was First Counselor in the First Presidency at the time of Sister Spafford's release; Tanner and she were good friends.	N. Eldon Tanner served as the First Counselor in the First Presidency when Sister Spafford was released; he and she shared a strong friendship.
"Entendo que algumas pessoas possam estar com medo de nós, porque elas não nos conhecem.
"	I understand that some people may be afraid of us, because they don't know us.	I understand that some people might be afraid of us because they don't know who we are.
"O usuário não foi encontrado.
"	The user was not found.	The user was not found.
"Acredito que nunca houve uma família mais obediente do que a minha e
"	I believe there has never been a more obedient family than mine and	I believe that there has never been a family more obedient than mine.
"Sinto-me grato por estar aqui com minha esposa, Ruth.
"	I am grateful to be here with my wife, Ruth.	I feel grateful to be here with my wife, Ruth.
"Isso torna o programa mais fácil para aqueles que começarem a usar o programa pela primeira vez.
"	This makes the program easier for those who start using the program for the first time.	This makes the program more user-friendly for those who are using it for the first time.
"Spencer W. Kimball, presidente da Igreja, anuncia que um templo será construído em Tóquio.
"	Spencer W. Kimball, President of the Church, announces that a temple will be built in Tokyo.	Spencer W. Kimball, President of the Church, announces the construction of a temple in Tokyo.
"Em vez de seguir um plano de aula específico, ajude-os com suas necessidades e interesses.
"	Instead of following a specific lesson plan, help them with their needs and interests.	Instead of following a specific lesson plan, help them to address their unique needs and interests.
